"podcast";"number";"date";"year";"month";"weekday";"duration";"title";"host";"guest";"category";"topic";"summary"
"Robot or Not";"19";2015-08-17;"2015";"August";"Monday";2.4;"Marvin the Paranoid Android";"John Siracusa, Jason Snell";NA;"Not provided";"Life… don’t talk to me about life";"Your plastic pal who’s fun to be with"
"Unjustly Maligned";"25";2015-08-17;"2015";"August";"Monday";63.2833333333333;"“Star Wars Episode II: Attack of the Clones” with Mike Klimo";"Antony Johnston";"Mike Klimo";"Movies";"“Star Wars Episode II: Attack of the Clones”";"Film critic and controversial prequel fan Mike Klimo joins Antony to explain his unorthodox Ring Theory, and how he believes it proves “Episode II: Attack of the Clones” is unjustly maligned. It’s kind of intense"
"Myke at the Movies";"9";2015-08-17;"2015";"August";"Monday";12.0166666666667;"“Inside Out”";"Myke Hurley";"Jason Snell";"Not provided";"Oh, Bing Bong";"A quick take on Pixar’s “Inside Out"
"Myke at the Movies";"8";2015-08-17;"2015";"August";"Monday";55.8333333333333;"“WarGames”";"Myke Hurley";"Jason Snell";"Not provided";"Protovision, I have you now.";"Shall we play a game? 1983’s Cold War thriller with a message—and lots of old computers—is in the spotlight"
"TeeVee";"93";2015-08-16;"2015";"August";"Sunday";58.3666666666667;"True Detective S2E8 review: “Omega Station”";"Philip Mozolak, Brian Hamilton";"Don Melton";"Shows";"True Detective Season 2, Episode 8";"Here we are at the end of the line, the Omega Station. We had high hopes, but this was a rough road. If you loved this season and even this episode, listen to how most people saw it.  Thank you to all those who stuck around and kept the home fires burning. Maybe season three will bring back what we missed"
"The Incomparable";"259";2015-08-15;"2015";"August";"Saturday";114.4;"Summer Superhero Spectacular: Round 2";"Jason Snell";"Steve Lutz, Philip Michaels, Lisa Schmeiser, Shannon Sudderth, Chip Sudderth";"Not provided";"You’re Three Feet from a Spider";"Our ridiculous celebration of superheroes continues in round 2, in which 32 heroes enter and 16 depart! This round incorporates your comments and votes, which we solicited after our last round. This also marks the final round for judges Lutz and Michaels, who assure you that absolutely no cash has changed hands in exchange for their votes. We’ve also added some new advocates and shuffled the deck a little bit. Join us on the next segment of our journey to discover which superhero reigns supreme.

The match-ups:

(1) Spider-Man vs. (8) Aquaman 
(5) Silver Surfer vs. (4) Kitty Pryde 
(11) Beta Ray Bill vs. (14) Kate Bishop/Hawkeye 
(10) Wally West/The Flash vs. (2) Captain America

(1) Superman vs. (9) The Falcon 
(5) Doctor Strange vs. (4) The Tick 
(11) Invisible Woman vs. (3) Barry Allen/The Flash 
(7) Ghost Rider vs. (2) The Hulk

(1) Batman vs. (8) Black Widow 
(5) Daredevil vs. (13) Moon Knight 
(6) Barbara Gordon/Batgirl/Oracle vs. (3) Green Arrow 
(7) Deadpool vs. (2) Wonder Woman

(1) Iron Man vs. (9) Gambit 
(12) The Thing vs. (13) Big Barda 
(6) Rorschach vs. (14) Invincible 
(10) Nightcrawler vs. (2) Wolverine"
"Bonus Track";"um24";2015-08-14;"2015";"August";"Friday";36.4166666666667;"The history of “Monopoly” with Cory Casoni";"Antony Johnston";"Cory Casoni";"Games";"The history of “Monopoly”";"What happens when your guest spends the first 35 mins of recording recounting the history of a board game… but it turns out to be absolutely fascinating? This. This is what happens"
"Total Party Kill";"57";2015-08-13;"2015";"August";"Thursday";71.5833333333333;"Full House";"Scott McNulty";"Tony Sindelar, Georgia Dow, Erika Ensign, Steve Lutz, Dan Moren, Jason Snell";"Not provided";"Eglath’s Angels, part 15";"The adventurers return to Tyr and go to a pub, which is exactly what you’d expect. But this pub has a Mul with some very important info that he’d like to provide—if something terrible doesn’t happen to him first! Also, Regdar and some accomplices visit a notable pottery emporium"
"Random Trek";"64";2015-08-13;"2015";"August";"Thursday";36.3166666666667;"“Singularity” (ENT) with Manu Saadia";"Scott McNulty";"Manu Saadia";"Not provided";"“Singularity”";"Manu Saadia, author of the forthcoming book Trekonomics, joins Scott to discuss Singularity (ENT S2E9). The economics of the Star Trek universe are discussed, as is why so many Enterprise episodes feature scenes in the bathroom, the merits of T’Pal, and whether or not Capt. Archer is a good captain (spoiler: he isn’t).  

Apologies for some of the audio in this episode, it would seem Skype isn’t a fan of Enterprise.

Next on Random Trek: TOS’s Mirror, Mirror"
"Defocused";"59";2015-08-13;"2015";"August";"Thursday";32.2833333333333;"How’s Your Siggraph";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Not provided";"Live! In Person! For the first (and probably last) time ever"
"TV Talk Machine";"46";2015-08-12;"2015";"August";"Wednesday";55.5333333333333;"A Couple of Pops";"Tim Goodman, Jason Snell";NA;"Not provided";"More from TCA summer press tour";"Two weeks later, Tim checks in again from the Television Critics Association’s summer press tour! We’ve got information about ABC, Amazon, AMC, CBS, DirecTV, Fox, FX, Hulu, PBS, Showtime, Starz, Syfy, and even NBC! Plus, Tim and Jason talk about Jon Stewart’s “Daily Show” finale"
"Robot or Not";"18";2015-08-11;"2015";"August";"Tuesday";6;"Commander Data";"John Siracusa, Jason Snell";NA;"Not provided";"Androids and Robots";"Is an android a robot"
"TeeVee";"92";2015-08-11;"2015";"August";"Tuesday";46.8333333333333;"The Flash S1E5-6 review: “Plastique” and “The Flash is Born”";"Tony Sindelar, Lisa Schmeiser";"Philip Mozolak";"Shows";"The Flash Season 1, Episode 5-6";"Continuing our first-season flashbacks! After a bomb goes off downtown, the army, led by General Eiling, rolls in and takes over the case. Suspicious arises at S.T.A.R. Labs. Barry Allen is eager to make a name for himself and wants everyone to know who the “Red Streak” really is"
"Unjustly Maligned";"24";2015-08-10;"2015";"August";"Monday";46.4;"“Monopoly” with Cory Casoni";"Antony Johnston";"Cory Casoni";"Games";"“Monopoly”";"Marketing guru and board game nerd Cory Casoni joins Antony to roll the dice and move his mice, while explaining that everyone who unjustly maligns “Monopoly” is simply playing it wrong"
"Defocused";"58";2015-08-10;"2015";"August";"Monday";66.5333333333333;"It Was the 80s of the Time";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Top Secret!";"For the love of god, no pun intended!

Top Secret! (1984"
"The Incomparable";"258";2015-08-08;"2015";"August";"Saturday";95.3;"Chekhov’s Bob-omb";"Jason Snell";"Joe Rosensteel, Philip Michaels, Tony Sindelar, Monty Ashley, Steve Lutz, David J. Loehr";"Movies";"Super Mario Bros.";"Our survey of terrible films continues with 1993’s “Super Mario Bros.”, which features surprisingly little of the characters, setting, or joy that one might attribute to the beloved video-game franchise. Bob Hoskins, John Leguizamo, Dennis Hopper, and the directors of the original “Max Headroom” film collaborate on this dreadful tale about evolved dinosaurs, dystopian parallel-universe New Yorks, and a couple of plumbers named Mario, one of whom is also named Luigi"
"Lazy Doctor Who";"11";2015-08-08;"2015";"August";"Saturday";31.05;"Marco Polo 4-7";"Erika Ensign, Steven Schapansky";NA;"Not provided";"D (4-7)";"Steven and Erika decide to, in one fell swoop, finish off the reconstruction of Doctor Who’s fourth serial, “Marco Polo”, from 1964. How did Erika fare in consuming so much recon in one sitting? Listen and see"
"Bonus Track";"258b";2015-08-08;"2015";"August";"Saturday";16.3;"Kenneth Branagh’s “Pong”";"Jason Snell";"Monty Ashley, Joe Rosensteel";"Not provided";"The Incomparable 258";"Deciding what bad movie to watch next, and a dramatic reading from Phil"
"Random Trek";"63";2015-08-06;"2015";"August";"Thursday";42.9333333333333;"“A Night in Sickbay” (ENT) with Aleen Simms";"Scott McNulty";"Aleen Simms";"Not provided";"“A Night in Sickbay”";"Aleen Simms, host of Less Than or Equal, joins Scott to discuss A Night in Sickbay (ENT S2E5). Porthos is sick, and it is all Archer’s fault. Plus thoughts on the theme song (yes, again), how Archer isn’t all that great at his job, and some problematic usage of T’Pol.

Next on Random Trek: Enterprise’s Singularity"
"TeeVee";"91";2015-08-04;"2015";"August";"Tuesday";77.5666666666667;"True Detective S2E7 Review: “Black Maps and Motel Rooms”";"Philip Mozolak, Brian Hamilton";"Don Melton";"Shows";"True Detective Season 2, Episode 7";"Did you see this in the rearview? The penultimate episode of “True Detective” season two was a treat. Evidence is coming together, and one person was shot dead.  Open the notepad and lick your pencil—it’s time for work.  

Do you have evidence you want to share? Upload your “tape” to the locker"
"Game Show";"17";2015-08-04;"2015";"August";"Tuesday";56.0166666666667;"Low Definition: Hempen Humbug";"Steve Lutz";"Jason Snell, Erika Ensign, Monty Ashley, Dan Moren, Tony Sindelar, David J. Loehr";"Not provided";"Balderdash!";"Once a month the Incomparable family plays a game, like you might around the table with your family. This month it’s Balderdash, the game of obscure words and ridiculous definitions. You’ll never look at pooks the same way again"
"Robot or Not";"17";2015-08-03;"2015";"August";"Monday";3.3;"The Terminator";"John Siracusa, Jason Snell";NA;"Not provided";"I’ll be back";"I know now why you humans cry"
"Unjustly Maligned";"23";2015-08-03;"2015";"August";"Monday";43.8833333333333;"“Romance Novels” with Maya Rodale";"Antony Johnston";"Maya Rodale";"Books";"“Romance Novels”";"Bestselling romance author Maya Rodale joins Antony to convince him her chosen field is unjustly maligned, explain how romance is a feminist genre, and ask just what is up with all the dukes, anyway"
"Defocused";"57";2015-08-03;"2015";"August";"Monday";65.45;"BYOP: Bring Your Own Poison";"Joe Rosensteel, Dan Sturm";"Aleen Simms";"Movies";"The Princess Bride";"When you saw only one set of footprints, that’s when Fezzik was carrying the horse.

The Princess Bride (1987"
"Myke at the Movies";"7";2015-08-02;"2015";"August";"Sunday";75.7666666666667;"“The Rocketeer”";"Myke Hurley";"Casey Liss";"Not provided";"Timothy Dalton’s in this one.";"Casey and Myke strap on their jetpacks and watch 1991’s “The Rocketeer"
"The Incomparable";"257";2015-08-01;"2015";"August";"Saturday";76.9333333333333;"Raptor Sipping Tea";"Jason Snell";"Shannon Sudderth, Lisa Schmeiser, Tony Sindelar, Dan Moren";"Comics";"Vaughan and Alphona’s “Runaways”";"Our Comic Book Club reconvenes to discuss “Runaways,” the 2003-2004 comic series by Brian K. Vaughan and Adrian Alphona. This is a Marvel Comic that’s also an original creation, and we’re tackling the 18 issues of the first volume, which form a self-contained story. How does the book alienate its teenage protagonists? Does the plot twist make sense? And why isn’t this a Marvel movie or TV show"
"Bonus Track";"257b";2015-08-01;"2015";"August";"Saturday";14.8333333333333;"It Has Always Been My Dream to Write Cyclops";"Jason Snell";"Shannon Sudderth, Lisa Schmeiser";"Comics";"The Incomparable 257";"More comic book talk, plus Lisa’s Runaways conspiracy theory"
"TV Talk Machine";"45";2015-07-31;"2015";"July";"Friday";35.9166666666667;"It’s Fun to Make Shows";"Tim Goodman, Jason Snell";NA;"Not provided";"Death March With Cocktails part 1";"Tim reports in live from L.A. at the Television Critics Association summer press tour to recount his first week, including sessions from Netflix, Comedy Central, HBO, Nat Geo, and BBC America. Plus we cover the rapid growth of Netflix and the systemic changes that make it harder for Trevor Noah to succeed Jon Stewart, and Peter Capaldi explains what a lollipop man is"
"Random Trek";"62";2015-07-30;"2015";"July";"Thursday";45.3166666666667;"“The Sword of Kahless” (DS9) with James Callan";"Scott McNulty";"James Callan";"Not provided";"“The Sword of Kahless”";"James Callan, content strategist and trivia master, joins Scott to discuss The Sword of Kahless (DS9 S4E9). Topics discussed include the details of Klingon archeology, how finding the sword isn’t the point of this episode, and many observations about Klingon society (or the lack thereof). 

Next on Random Trek: Enterprise’s A Night in Sickbay"
"TeeVee";"90";2015-07-29;"2015";"July";"Wednesday";86.4333333333333;"True Detective S2E6 Review: “Church in Ruins” ￼";"Brian Hamilton, Philip Mozolak";"Don Melton";"Shows";"True Detective Episode 6, Season 2";"This week things get serious, so the precinct has called in famous loose cannon Capt. Don Melton to assist in the investigation. Folks, this episode has the most action we have seen all season—but is it enough to quench our sandy mouths? This has been a highly debated episode online. Now it’s time to check it into evidence.  Check out the full length report by @tjluomo"
"Total Party Kill";"56";2015-07-29;"2015";"July";"Wednesday";50.5666666666667;"Professional Monkey Paw Operator";"Scott McNulty";"Erika Ensign, Dan Moren, Georgia Dow, Steve Lutz, Jason Snell, Tony Sindelar";"Not provided";"Eglath’s Angels, part 14";"In the aftermath of a horrible loss, our party struggles to stay alive against an onslaught of webbed and unwebbed Tembo. Is there any hope? Perhaps the slightest ruby glint"
"Game Show";"16";2015-07-28;"2015";"July";"Tuesday";44.4333333333333;"Pundit Showdown: International Incident";"Philip Michaels";"Serenity Caldwell, Jeff Carlson, Erik Malinowski, Jim Dalrymple";"Not provided";"Pundit Showdown 2";"The Pundit Showdown returns with our panel of four technology experts answering host Philip Michaels’ questions in hopes of earning points and glory! But which panelist will strain international relationships to the breaking point? (Hint: He has a beard"
"Robot or Not";"16";2015-07-27;"2015";"July";"Monday";0.95;"Siri";"John Siracusa, Jason Snell";NA;"Not provided";"What about Jason’s iPhone?";"So-called intelligent agents"
"Unjustly Maligned";"22";2015-07-27;"2015";"July";"Monday";61.8666666666667;"“Face/Off” with Neven Mrgan";"Antony Johnston";"Neven Mrgan";"Movies";"“Face/Off”";"Programmer and game designer Neven Mrgan joins Antony to defend John Woo’s “Face/Off”, lament the march of realism in action movies, and wonder why anyone would own a double-sided mirror"
"The Incomparable";"256";2015-07-26;"2015";"July";"Sunday";96.4;"Space Bureaucracy";"Jason Snell";"Scott McNulty, Erika Ensign, David J. Loehr";"Shows";"2015 Hugo Award nominees";"It’s time for our annual dive into the Hugo Awards, focused mostly on the five nominated novels, but also touching on short fiction, comics, films, and TV episodes, as well as this year’s big Hugo controversy"
"Defocused";"56";2015-07-25;"2015";"July";"Saturday";100.55;"British in the Year 3000";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Jupiter Ascending";"Jupiter Ascending (2015) – We have some issues"
"TeeVee";"89";2015-07-24;"2015";"July";"Friday";60.4333333333333;"The Flash S1E3-4 review: “Things You Can’t Outrun” and “Going Rogue”";"Lisa Schmeiser";"Tony Sindelar, Philip Mozolak";"Shows";"￼The Flash Season 1, Episode 3-4";"In our retro-review of the early episodes of season 1, we continue to follow the mysterious “streak” as he learns what a hero needs to know and meets archvillain Captain Cold, who makes his presence felt in Central City.  Join us as we take a look back in time as we anticipate the run-up to season 2"
"TV Talk Machine";"44";2015-07-24;"2015";"July";"Friday";41.8833333333333;"The Willie McCovey Episode";"Tim Goodman, Jason Snell";NA;"Not provided";"Emmys and your letters";"Tim and Jason are back with an all-feedback episode! The Emmy Awards, comedy in TV movies, “Penny Dreadful,” family TV shows, why Australians love the TVTM, and more recipes plus haiku from Amy in the 415"
"Random Trek";"61";2015-07-23;"2015";"July";"Thursday";45.0666666666667;"“Man of the People” (TNG) with Marcos Huerta";"Scott McNulty";"Marcos Huerta";"Not provided";"“Man of the People”";"Marcos Huerta,  astronomer, latino, and huge Trek/Sci-fi fan, joins Scott to discuss Man of the People (TNG S6E3). This episode is all Troi all the time (well, it is a lot of Troi, a lot of the time). Topics include how Troi’s character is largely defined by her relationships with other characters, the problematic nature of telepathy, 24th century medaitaror’s shocking lack of prepration for their jobs, and the astounding fact that Star Trek III isn’t as bad as you remember it.

Next on Random Trek: DS9’s The Sword of Kahless"
"TeeVee";"88";2015-07-21;"2015";"July";"Tuesday";62.0333333333333;"True Detective S2E5 Review: “Other Lives”";"Philip Mozolak, Brian Hamilton";NA;"Not provided";"￼​True Detective, Episode 5, Season 2";"Welcome to Vinci, 66 days later.  What has changed besides shaved flavor savers? Let us punch in and take a look at the “width” of this flaccid reset"
"Game Show";"15";2015-07-21;"2015";"July";"Tuesday";48.9833333333333;"Inconceivable!: Vampire Or Not";"Dan Moren, Jason Snell";"Lisa Schmeiser, Guy English, Erika Ensign, Chip Sudderth, Aleen Simms, Steve Lutz";"Not provided";"Inconceivable! Episode 5";"Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. 

Obscure 1990s vampires! Batman villains! … High school chemistry? Those are just a few of the things that we quiz our panelists on this month. Lisa Schmeiser, Guy English, and Erika Ensign take on Chip Sudderth, Aleen Simms, and Steve Lutz, while host Dan Moren and scorekeeper pro tempore Jason Snell oversee the proceedings"
"Robot or Not";"15";2015-07-20;"2015";"July";"Monday";2.4;"The Major";"John Siracusa, Jason Snell";NA;"Not provided";"Human brains, mechanical bodies";"From “Ghost in the Shell,” a human brain in a mechanical body. And what about uploaded brains and bodies"
"Unjustly Maligned";"21";2015-07-20;"2015";"July";"Monday";52.25;"“Gremlins 2” with Rich Dansky";"Antony Johnston";"Rich Dansky";"Movies";"“Gremlins 2”";"Game writer and novelist Rich Dansky joins Antony in a fun, but in no sense civilized, tribute to the late Sir Christopher Lee as they get wet, stare at bright lights, and feast after midnight on the unjustly maligned “Gremlins 2"
"Defocused";"55";2015-07-20;"2015";"July";"Monday";113.533333333333;"A Soft, Flaccid Waffle";"Joe Rosensteel, Dan Sturm";"Anže Tomić";"Movies";"Stripes";"This week, we’re joined by special guest Anže Tomić to talk about one of his favorite films, Stripes (1981"
"The Incomparable";"255e";2015-07-18;"2015";"July";"Saturday";8.5;"Summer Superhero Spectacular: The Aftermath";"Jason Snell";NA;"Not provided";"Vote now!";"After the nearly three hours of silly superhero tournament stuff we released last week, there’s no new episode this week. But Jason’s here with a reminder that you can affect the results of round two of the tournament, coming next month, by voting now"
"Lazy Doctor Who";"10";2015-07-18;"2015";"July";"Saturday";21.2166666666667;"Marco Polo 2-3";"Erika Ensign, Steven Schapansky";NA;"Not provided";"D (2-3)";"Erika and Steven finally get back to watching the reconstruction of Doctor Who’s fourth serial, “Marco Polo”, from 1964. Warning: there’s more singing in this episode"
"Random Trek";"60";2015-07-17;"2015";"July";"Friday";40.4666666666667;"“Symbiosis” (TNG) with Courtney Wilburn";"Scott McNulty";"Courtney Wilburn";"Not provided";"“Symbiosis” (TNG)";"Courtney Wilburn, web developer and Levar Burton fan, joins Scott to discuss Symbiosis (TNG S1E22). This is a very special episode of TNG where we learn about the perils of addiction and the questionable tactic of having your entire planet’s economy depend on one crop. Interesting fashion, the allure of TNG, and questions about Dr. Crusher’s medical acumen are all discussed as is the Prime Directive and how Capt. Picard seems to apply it capriciously in this episode.

Next on Random Trek: TNG’s Man of the People"
"TV Talk Machine";"43";2015-07-16;"2015";"July";"Thursday";53.4166666666667;"Particularly Egregious";"Tim Goodman, Jason Snell";NA;"Not provided";"2015 Emmy Nominations";"The 2015 Emmy Awards nominations are here, and in this special episode Tim breaks them all down—the obvious choices, the pleasantly surprising decisions… and, yeah, the outrageous omissions. Accept no substitutes for the TVTM’s instant Emmy analysis"
"Total Party Kill";"55";2015-07-16;"2015";"July";"Thursday";63.8;"Too Many Tembo";"Scott McNulty";"Georgia Dow, Erika Ensign, Steve Lutz, Dan Moren, Tony Sindelar, Jason Snell";"Not provided";"Eglath’s Angels, part 13";"With the caravan and the village of Red Obelisk behind them, and Scale back out of her protective bubble, our adventurers set off back to Tyr. Surely they wouldn’t have the bad luck to run into some dangerous, legendary bogeyman out in the desert, right? Right"
"Sophomore Lit";"8";2015-07-16;"2015";"July";"Thursday";84.0833333333333;"Wuthering Heights";"John McCoy";"Shannon Campe";"Books";"Not provided";"I’m so co-o-o-old, let me in-a your window so we can talk about Emily Brontë’s Wuthering Heights. This time I’m joined by Shannon Campe to discuss those crazy kids Heath and Cathy"
"TeeVee";"87";2015-07-15;"2015";"July";"Wednesday";56.3833333333333;"The Flash S1E1-2 review: “Pilot” and “The Fastest Man Alive”";"Lisa Schmeiser";"Tony Sindelar, Philip Mozolak";"Shows";"The Flash Season 1, Episode 1-2";"Hey, the Flashcast band is back! It is time for the summer backfill, starting with the first two episodes.  Join us as we take a look back in time in a run up to season 2"
"TeeVee";"86";2015-07-14;"2015";"July";"Tuesday";65.4833333333333;"True Detective S2E4 review: “Down Will Come” ​";"Brian Hamilton, Philip Mozolak";NA;"Shows";"￼​True Detective, Season 2, Episode 4";"This episode may leave us feeling like we are just punching the time clock, but there is hope.  Sgt. Mozolak makes a bold prediction against police policy.  Agent Hamilton puts his career on the line to assist in this investigation"
"TeeVee";"85";2015-07-14;"2015";"July";"Tuesday";92.95;"Daredevil Rewind: The Finale";"Philip Mozolak, Guy English";"Jason Snell, Don Melton";"Shows";"Daredevil Episode 13";"In this last episode we stand along the rooftops of Hell’s Kitchen and reflect upon episode 13, simply titled “Daredevil.” Jason Snell drops into the fray to finalize and put the Devil to bed.  Thank you to all of the Rewind guests and thanks to you, the listeners for sharing time in the Kitchen"
"Robot or Not";"14";2015-07-13;"2015";"July";"Monday";4.23333333333333;"Jaegers";"John Siracusa, Jason Snell";NA;"Not provided";"Big robots with little people inside";"Big robots with people inside, as seen in “Shogun Warriors” and “Pacific Rim"
"Game Show";"14";2015-07-13;"2015";"July";"Monday";32.4166666666667;"Counterclockwise: Zombie King";"Jason Snell, Dan Moren";"Brian Hamilton, Monty Ashley";"Shows";"Counterclockwise 5 - Game of Thrones";"This month’s Counterclockwise is all about HBO’s “Game of Thrones.” Is you-know-who really dead? Who is left to cheer for? Are TV viewers supposed to keep spoilers quiet so as not to offend book readers? Of all the deaths, what was the most memorable? We answer the questions you never asked"
"Unjustly Maligned";"20";2015-07-13;"2015";"July";"Monday";57.55;"“Jupiter Ascending” with Serenity Caldwell";"Antony Johnston";"Serenity Caldwell";"Movies";"“Jupiter Ascending”";"Journalist and podcaster Serenity Caldwell joins Antony to revel in one of the most unjustly maligned movies of 2015, “Jupiter Ascending”. We love dogs"
"Defocused";"54";2015-07-13;"2015";"July";"Monday";104.533333333333;"Majored in Wall, Minored in Alcove";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Independence Day";"Dan is not an Explosionologist. Joe is not a Doorologist.

Independence Day (1996"
"The Incomparable";"255d";2015-07-12;"2015";"July";"Sunday";38.4166666666667;"Summer Superhero Spectacular: Latveria Region";"Jason Snell";"Steve Lutz, Philip Michaels, Tony Sindelar, Lisa Schmeiser, Dan Moren";"Comics";"Comic-Con Special, Part 4";"In celebration of the four days of Comic-Con 2015, we present a four-day celebration of silly superhero debates! We’ve seeded 64 heroes into a tournament that’s designed to find the most incomparable superhero of them all. Or something like that. The advocates are sometimes passionate and sometime disinterested, but that’s okay, because the judges are completely capricious.

Today’s episode features the first round in the Latveria region, featuring the following match-ups:


Iron Man (1) vs. Iron Fist (16)
Phoenix (8) vs. Gambit (9)
Captain Marvel / Carol Danvers (5) vs. The Thing (12)
Hawkeye / Clint Barton (4) vs. Big Barda (13)
Rorschach (6) vs. Storm (11)
Thor (3) vs. Invincible (14)
Black Panther (7) vs. Nightcrawler (10)
Wolverine (2) vs. Tigra (15"
"The Incomparable";"255c";2015-07-11;"2015";"July";"Saturday";37.35;"Summer Superhero Spectacular: Metropolis Region";"Jason Snell";NA;"Not provided";"Comic-Con Special, Part 3";"In celebration of the four days of Comic-Con 2015, we present a four-day celebration of silly superhero debates! We’ve seeded 64 heroes into a tournament that’s designed to find the most incomparable superhero of them all. Or something like that. The advocates are sometimes passionate and sometime disinterested, but that’s okay, because the judges are completely capricious.

Today’s episode features the first round in the Metropolis region, featuring the following match-ups:


Superman (1) vs. Iceman (16)
Atom (8) vs. Falcon (9)
Dr. Strange (5) vs. X-O Manowar (12)
Tick (4) vs. Catwoman (13)
Hellboy (6) vs. Invisible Woman (11)
Flash - Barry Allen (3) vs. Question (14)
Ghost Rider (7) vs. Blue Beetle - Jaime Reyes (10)
Hulk (2) vs. Booster Gold (15"
"The Incomparable";"255b";2015-07-10;"2015";"July";"Friday";42.15;"Summer Superhero Spectacular: Gotham Region";"Jason Snell";"Chip Sudderth, Monty Ashley, Lisa Schmeiser, Tony Sindelar, Andy Ihnatko";"Comics";"Comic-Con Special, Part 2";"In celebration of the four days of Comic-Con 2015, we present a four-day celebration of silly superhero debates! We’ve seeded 64 heroes into a tournament that’s designed to find the most incomparable superhero of them all. Or something like that. The advocates are sometimes passionate and sometime disinterested, but that’s okay, because the judges are completely capricious.

Today’s episode features the first round in the Gotham region, featuring the following match-ups:


Batman (1) vs. Starman (16)
Black Widow (8) v. Professor X (9)
Daredevil (5) vs. Harley Quinn (12)
Miles Morales (4) vs. Moon Knight (13)
Barbara Gordon (6) vs. Dick Grayson (11)
Green Arrow (3) vs. Mr. Fantastic (14)
Deadpool (7) vs. Martian Manhunter (10)
Wonder Woman (2) vs. Wildcat (15)


Plus stick around at the end for a very special musical interlude"
"TV Talk Machine";"42";2015-07-10;"2015";"July";"Friday";63.1333333333333;"18 Crazy Nights";"Tim Goodman, Jason Snell";NA;"Not provided";"Sex&Drugs&Rock&Roll";"Tim and Jason aren’t at Comic-Con, though Jason’s just back from San Diego and Tim’s getting ready for the Death March With Cocktails later this month. In the meantime, both of them talk about Keith Olbermann, Hannibel Burress, “Rectify”, “Masters of Sex”, “Ray Donovan”, “Sex&Drugs&Rock&Roll”, and Jason reports in on “Zoo”, “Mr. Robot”, and “Humans.” Plus, we answer your questions"
"The Incomparable";"255a";2015-07-09;"2015";"July";"Thursday";44.4666666666667;"Summer Superhero Spectacular: Central City Region";"Jason Snell";"Andy Ihnatko, Chip Sudderth, Lisa Schmeiser, Tony Sindelar, Dan Moren";"Comics";"Comic-Con Special, Part 1";"In celebration of the four days of Comic-Con 2015, we present a four-day celebration of silly superhero debates! We’ve seeded 64 heroes into a tournament that’s designed to find the most incomparable superhero of them all. Or something like that. The advocates are sometimes passionate and sometime disinterested, but that’s okay, because the judges are completely capricious.

Today’s episode features the first round in the Central City region, featuring the following match-ups:


Spider-Man (1) vs. Beast (16)
Aquaman (8) vs. Blue Beetle Ted Kord (9)
Silver Surfer (5) vs. She-Hulk (12)
Kitty Pryde (4) vs. Jonah Hex (13)
Shazam (6) vs. Beta Ray Bill (11)
Green Lantern (3) vs. Kate Bishop Hawkeye (14)
Ms. Marvel Kamala Khan (7) vs. The Flash Wally West (10)
Captain America (2) vs. Solar: Man of the Atom (15"
"Random Trek";"59";2015-07-09;"2015";"July";"Thursday";61.15;"“The Search Part 1 and 2” (DS9) with Shareef Jackson";"Scott McNulty";"Shareef Jackson";"Not provided";"“The Search Part 1 and 2”";"Shareef Jackson, STEM enthusiast, joins Scott to discuss  “The Search, Part 1 and Part 2” (DS9 S3E1&2). This episode has everything: the revealing of the Founders, the introduction of the Defiant, and Odo turns into a rock. What more can you ask for? Topics include Star Trek captain’s surprising lack of family, how awesome the Defiant is, and the multilayered character that is Odo.

Next on Random Trek: TNG’s Symbiosis"
"Robot or Not";"13";2015-07-07;"2015";"July";"Tuesday";3.75;"Transformers";"John Siracusa, Jason Snell";NA;"Not provided";"Robots in disguise?";"Like the song says"
"TeeVee";"84";2015-07-07;"2015";"July";"Tuesday";69.2666666666667;"True Detective S2E3 Review: “Maybe Tomorrow” ￼";"Philip Mozolak, Brian Hamilton";NA;"Shows";"￼True Detective, Episode 3, Season 2";"The most rubber-bullet-splashed episode so far this season. Many events and investigations are laid out on our evidence board, leaving much to unpack. Is it too much? Are we just punching the time clock for an early pension? Open your notebooks and hit play as we dive into the spaghetti mess"
"Unjustly Maligned";"19";2015-07-06;"2015";"July";"Monday";53.7333333333333;"“Dragon Age II” with Liz Myles";"Antony Johnston";"Liz Myles";"Games";"“Dragon Age II”";"Writer and podcaster Liz Myles joins Antony to complain that “Dragon Age II” is unjustly maligned, how saving the world yet again simply isn’t that exciting, and why you just can’t trust a wizard"
"Ruin the Movies";"11";2015-07-05;"2015";"July";"Sunday";36.5;"Phil and Lisa Hate America";"Lisa Schmeiser, Philip Michaels";NA;"Not provided";"Fireworks!";"Paul Rudd goes method and builds an ant farm"
"The Incomparable";"254";2015-07-04;"2015";"July";"Saturday";98.8333333333333;"You’ve Ruined Pizza";"Jason Snell";"John Siracusa, Merlin Mann, David J. Loehr, Andy Ihnatko";"Movies";"Pixar’s “Inside Out”";"Pixar’s latest film, “Inside Out,” tells the unlikely story of the conflict of emotions inside the head of a young girl. Join us as we draw a circle around our own parental sadness and instead focus on the joy of an instant Pixar classic"
